U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P210385908000114499           PASTICLÉ                                          UNI???ATT1800000000000350
P210385908000114498           STIKADINHO MORANGO C/30                           UNI???ATT1800000000000800
P210385908000114558           VINHO BONFILIO TONET TINTO SUAVE 750 ML           L?????ATT2700000000000550
P210385908000114553           HALLS CREAMY CER/CHO                              CX????ATT1800000000001280
P210385908000114634           SALG. PIPOFLOCS METALIZADO REQUEIJAO C/5          UNI???ATT1800000000000500
P210385908000114514           REFRESCO FRESH ABACAXI 15X20G                     CX????ATT1800000000000750
P210385908000114515           REFRESCO FRESH CAJA 15X20G                        CX????ATT1800000000000750
P210385908000114516           REFRESCO FRESH CAJU 15X20G                        CX????ATT1800000000000750
P210385908000114517           REFRESCO FRESH GOIABA 15X20G                      CX????ATT1800000000000750
P210385908000114518           REFRESCO FRESH GRAVIOLA 15X20G                    CX????ATT1800000000000750
P210385908000114519           REFRESCO FRESH MANGA 15X20G                       CX????ATT1800000000000750
P210385908000114520           REFRESCO FRESH MARACUJA 15X20G                    CX????ATT1800000000000750
P210385908000114521           REFRESCO FRESH MORANGO 15X20G                     CX????ATT1800000000000750
P210385908000114522           REFRESCO FRESH TANGERINA 15X20G                   CX????ATT1800000000000750
P210385908000114523           REFRESCO FRESH UVA 15X20G                         CX????ATT1800000000000750
P210385908000114524           REFRESCO FRESH LARANJA 15X20G                     CX????ATT1800000000000750
P210385908000114534           CERVEJA NOVA SCHIN 1000 ML S/RETORNO              CX????ATF0000000000003300
P210385908000114613           PIPOCA GRAVATA NORDESTE                           PC????ATT1800000000000260
P210385908000114530           TAMPICO 27X200 ML                                 CX????ATT1800000000001850
